id,name,employer,salary,area,published_at,alternate_url
124379190,Middle Java-разработчик,Леон,от 200000 RUR gross,Санкт-Петербург,2025-08-22T15:57:41+0300,https://hh.ru/vacancy/124379190
124452360,Технический директор (CTO),Техностар,,Санкт-Петербург,2025-08-25T16:41:21+0300,https://hh.ru/vacancy/124452360
109239766,Manual QA Engineer,НЭК ТЕХ,,Санкт-Петербург,2025-08-19T16:10:01+0300,https://hh.ru/vacancy/109239766
123468909,QA тестировщик (Manual),DCloud,до 250000 RUR net,Санкт-Петербург,2025-07-31T13:57:05+0300,https://hh.ru/vacancy/123468909
124331111,Junior / Pre-Middle Java Developer,Юниверс Дата,,Санкт-Петербург,2025-08-21T14:59:11+0300,https://hh.ru/vacancy/124331111
124265741,Junior Java-разработчик,Alee Software,,Санкт-Петербург,2025-08-20T10:44:14+0300,https://hh.ru/vacancy/124265741
124398482,C#/.NET-разработчик,ExRP,от 30000 до 250000 RUR gross,Санкт-Петербург,2025-08-23T21:47:35+0300,https://hh.ru/vacancy/124398482
122874414,Java-разработчик,Бизнес Технологии,от 150000 RUR net,Санкт-Петербург,2025-08-27T15:31:56+0300,https://hh.ru/vacancy/122874414
124383121,Java разработчик (middle +),NEXTEPIC,от 270000 RUR net,Санкт-Петербург,2025-08-25T17:18:12+0300,https://hh.ru/vacancy/124383121
122367275,Java-разработчик Middle/Senior,e-legion,,Санкт-Петербург,2025-08-02T17:32:14+0300,https://hh.ru/vacancy/122367275
124393277,Веб-программист,Компания Л1,,Санкт-Петербург,2025-08-26T09:57:48+0300,https://hh.ru/vacancy/124393277
124167006,Junior Java-разработчик,Константинов Павел Андреевич,от 90000 до 150000 RUR net,Санкт-Петербург,2025-08-18T12:22:31+0300,https://hh.ru/vacancy/124167006
124522811,NodeJs / Backend-разработчик (начинающий),Hotels.ru,от 45000 RUR net,Санкт-Петербург,2025-08-27T08:00:58+0300,https://hh.ru/vacancy/124522811
124463346,Delivery manager - Менеджер по разработке и внедрению,X5 Tech,,Санкт-Петербург,2025-08-26T00:00:32+0300,https://hh.ru/vacancy/124463346
122780353,Java developer,ЮMoney,,Санкт-Петербург,2025-08-11T10:45:13+0300,https://hh.ru/vacancy/122780353
124243873,Backend-разработчик,i-Digital,,Санкт-Петербург,2025-08-19T17:25:14+0300,https://hh.ru/vacancy/124243873
124140118,Java Developer,FinSTC Software LLC,от 1200 до 2700 USD gross,Санкт-Петербург,2025-08-18T04:56:02+0300,https://hh.ru/vacancy/124140118
124323165,Middle Java-разработчик,Константинов Павел Андреевич,от 150000 до 250000 RUR net,Санкт-Петербург,2025-08-21T12:47:51+0300,https://hh.ru/vacancy/124323165
124507457,Junior Java QA engineer / Инженер по тестированию Java,Button One,,Санкт-Петербург,2025-08-26T16:39:07+0300,https://hh.ru/vacancy/124507457
124342477,Backend-разработчик,ТестОпс,,Санкт-Петербург,2025-08-21T18:22:32+0300,https://hh.ru/vacancy/124342477
124247134,Java разработчик (middle),FplusTech,от 150000 RUR net,Санкт-Петербург,2025-08-19T20:18:11+0300,https://hh.ru/vacancy/124247134
124371938,Frontend-разработчик (Vue. js),Региональный Информационно-Вычислительный Центр Пулково,,Санкт-Петербург,2025-08-25T13:47:18+0300,https://hh.ru/vacancy/124371938
124138578,Java-разработчик,Стеллар,,Санкт-Петербург,2025-08-17T21:01:25+0300,https://hh.ru/vacancy/124138578
116373193,QA Engineer / Инженер по качеству,Nord.Codes,от 60000 до 150000 RUR net,Санкт-Петербург,2025-08-25T21:45:20+0300,https://hh.ru/vacancy/116373193
123811213,QA инженер (middle+/senior),Smartup,,Санкт-Петербург,2025-08-26T10:25:23+0300,https://hh.ru/vacancy/123811213
124533299,Cистемный администратор (OPS engineer),CodeScoring,,Санкт-Петербург,2025-08-27T10:38:59+0300,https://hh.ru/vacancy/124533299
124328170,Android Developer,Силиз,,Санкт-Петербург,2025-08-21T14:09:17+0300,https://hh.ru/vacancy/124328170
124514357,QA Automation Engineer (Java) / Инженер по автоматизированному тестированию на Java,Nord.Codes,от 100000 до 300000 RUR net,Санкт-Петербург,2025-08-27T01:18:55+0300,https://hh.ru/vacancy/124514357
123113544,Java developer (Middle/Senior),Пэй Энджин,,Санкт-Петербург,2025-08-24T23:13:21+0300,https://hh.ru/vacancy/123113544
